model_answer,serial_number
"{""columns"":[""NumCatalogPurchases""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",113
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",114
"{""columns"":[""Overall"",""Special""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",115
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",116
"{""columns"":[""AcceptedCmp2""],""methods"":[""Mode""]}",117
"{""columns"":[""MntFishProducts""],""methods"":[""Kurtosis"",""Mean"",""Median"",""Standard Deviation"",""Skewness""]}",118
"{""columns"":[""MntFishProducts"",""NumCatalogPurchases""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",119
"{""columns"":[""SCC"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",120
"{""columns"":[""reading score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",121
"{""columns"":[""Attack method: Assassination"",""Terrorist Death Type : Killed""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",122
"{""columns"":[""JUN""],""methods"":[""Standard Deviation""]}",123
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Skewness""]}",124
"{""columns"":[""Average Tree Price"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",125
"{""columns"":[""address"",""reason""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",126
"{""columns"":[""F2020""],""methods"":[""Skewness"",""Mean"",""Median"",""Quartile"",""Standard Deviation"",""Kurtosis""]}",127
"{""columns"":[""famrel""],""methods"":[""Skewness"",""Kurtosis""]}",128
"{""columns"":[""math score"",""reading score""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",129
"{""columns"":[""HP"",""Attack""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",130
"{""columns"":[""Pstatus"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",131
"{""columns"":[""avg_satisfaction"",""std_satisfaction""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",132
"{""columns"":[""Number of trees sold"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",133
"{""columns"":[""Catch_Rate""],""methods"":[""Quartile""]}",134
"{""columns"":[""Pakistan"",""Thailand"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",135
"{""columns"":[""Age"",""Overall""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",136
"{""columns"":[""Average Tree Price"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",137
"{""columns"":[""FastingBS"",""RestingECG""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",138
"{""columns"":[""HP"",""Sp_Def""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",139
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",140
"{""columns"":[""Review""],""methods"":[""Mean""]}",141
"{""columns"":[""Income"",""Teenhome""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Kolmogorov-Smirnov Test"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",142
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",143
"{""columns"":[""Philippines"",""India""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",144
"{""columns"":[""F2011""],""methods"":[""Quartile""]}",145
"{""columns"":[""FAF""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",146
"{""columns"":[""RestingBP""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",147
"{""columns"":[""SHORTNESS OF BREATH""],""methods"":[""Mode""]}",148
"{""columns"":[""Industry Score"",""Teaching Score""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",149
"{""columns"":[""Oldpeak"",""Cholesterol"",""MaxHR""],""methods"":[""Partial Correlation Coefficient""]}",150
"{""columns"":[""Speed"",""Height_m"",""Attack""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",151
"{""columns"":[""NumWebVisitsMonth"",""MntSweetProducts"",""MntMeatProducts""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",152
"{""columns"":[""Walc"",""absences""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",153
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",154
"{""columns"":[""CH2O"",""Weight"",""FCVC""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",155
"{""columns"":[""ALLERGY "",""LUNG_CANCER"",""GENDER""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",156
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",157
"{""columns"":[""Thailand"",""Year""],""methods"":[""Skewness""]}",158
"{""columns"":[""Age"",""Weight""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",159
