invest,value,capital,firm,year,group
43.48,274.6,376.0,Goodyear,1950.0,group_B
56.49,339.9,391.0,Goodyear,1951.0,group_B
65.98,474.8,414.0,Goodyear,1952.0,group_B
66.11,496.0,443.0,Goodyear,1953.0,group_B
-38.816409090909104,474.5,468.0,Goodyear,1954.0,group_A
-132.41640909090913,70.91,4.5,Diamond Match,1935.0,group_A
-133.4964090909091,87.94,4.71,Diamond Match,1936.0,group_A
-133.11640909090912,82.2,4.57,Diamond Match,1937.0,group_A
1.99,58.72,4.56,Diamond Match,1938.0,group_B
2.03,80.54,4.38,Diamond Match,1939.0,group_B
1.81,86.47,4.21,Diamond Match,1940.0,group_B
-133.21640909090914,77.68,4.12,Diamond Match,1941.0,group_A
-133.77640909090908,62.16,3.83,Diamond Match,1942.0,group_A
-135.6364090909091,62.24,3.58,Diamond Match,1943.0,group_A
-135.1364090909091,61.82,3.41,Diamond Match,1944.0,group_A
-134.77640909090908,65.85,3.31,Diamond Match,1945.0,group_A
2.24,69.54,3.23,Diamond Match,1946.0,group_B
3.81,64.97,3.9,Diamond Match,1947.0,group_B
5.66,68.0,5.38,Diamond Match,1948.0,group_B
4.21,71.24,7.39,Diamond Match,1949.0,group_B
3.42,69.05,8.74,Diamond Match,1950.0,group_B
-128.15640909090914,83.04,9.07,Diamond Match,1951.0,group_A
6.0,74.42,9.93,Diamond Match,1952.0,group_B
6.53,63.51,11.68,Diamond Match,1953.0,group_B
-127.2564090909091,58.12,14.33,Diamond Match,1954.0,group_A
-131.62040909090913,30.284,52.011,American Steel,1935.0,group_A
5.643,43.909,52.903,American Steel,1936.0,group_B
10.233,107.02,54.499,American Steel,1937.0,group_B
4.046,68.306,59.722,American Steel,1938.0,group_B
-130.84440909090912,84.164,61.659,American Steel,1939.0,group_A
-128.1364090909091,69.157,62.243,American Steel,1940.0,group_A
5.732,60.148,63.361,American Steel,1941.0,group_B
-113.2624090909091,49.332,64.861,American Steel,1942.0,group_A
15.276,75.18,67.953,American Steel,1943.0,group_B
-118.9464090909091,62.05,69.59,American Steel,1944.0,group_A
9.577,59.152,69.144,American Steel,1945.0,group_B
3.956,68.424,70.269,American Steel,1946.0,group_B
-129.8284090909091,48.505,71.051,American Steel,1947.0,group_A
5.97,40.507,71.508,American Steel,1948.0,group_B
-124.63040909090913,39.961,73.827,American Steel,1949.0,group_A
-127.95640909090909,36.494,75.847,American Steel,1950.0,group_A
-124.43240909090909,46.082,77.367,American Steel,1951.0,group_A
-122.8384090909091,57.616,78.631,American Steel,1952.0,group_A
9.02,57.441,80.215,American Steel,1953.0,group_B
-124.9344090909091,47.165,83.788,American Steel,1954.0,group_A
