model_answer,serial_number
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test"",""Variance Test: F-Test for Variance""]}",27
"{""columns"":[""ANU""],""methods"":[""Range""]}",28
"{""columns"":[""Attack method: Hostage Taking (Kidnapping)""],""methods"":[""Descriptive Statistics: Kurtosis""]}",29
"{""columns"":[""Rest of World""],""methods"":[""Standard Deviation""]}",30
"{""columns"":[""studytime"",""health"",""age""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",31
"{""columns"":[""TV Ad Budget ($)"",""Sales ($)""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",32
"{""columns"":[""NumWebPurchases"",""MntMeatProducts"",""MntSweetProducts""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",33
"{""columns"":[""Dream Weight"",""Heart Rate""],""methods"":[""Descriptive Statistics"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test""]}",34
"{""columns"":[""Pakistan"",""Brazil""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",35
"{""columns"":[""FastingBS"",""ChestPainType""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",36
"{""columns"":[""Nigeria"",""Bangladesh""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",37
"{""columns"":[""Age"",""Overall""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",38
"{""columns"":[""PEER_PRESSURE"",""CHEST PAIN""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",39
"{""columns"":[""Medu"",""freetime""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",40
"{""columns"":[""Attack method: Unarmed Assault"",""Attack method: Armed Assault""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",41
"{""columns"":[""MntGoldProds""],""methods"":[""Standard Deviation""]}",42
"{""columns"":[""Sp_Atk"",""Pr_Male"",""Attack""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",43
"{""columns"":[""reason"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",44
"{""columns"":[""CH2O""],""methods"":[""Descriptive Statistics: Quartile""]}",45
"{""columns"":[""ChestPainType"",""HeartDisease""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",46
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",47
"{""columns"":[""MntGoldProds""],""methods"":[""Descriptive Statistics: Standard Deviation""]}",48
"{""columns"":[""schoolsup"",""internet"",""school""],""methods"":[""Chi-square Independence Test"",""Mantel-Haenszel Test"",""Fisher Exact Test""]}",49
"{""columns"":[""Value"",""Release Clause""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",50
"{""columns"":[""Philippines"",""Vietnam""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",51
"{""columns"":[""Defense"",""Speed""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",52
"{""columns"":[""std_satisfaction"",""median_income""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",53
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",54
"{""columns"":[""HP"",""Sp_Atk""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",55
"{""columns"":[""Kidhome"",""NumCatalogPurchases""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",56
"{""columns"":[""PEER_PRESSURE"",""SHORTNESS OF BREATH"",""YELLOW_FINGERS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",57
"{""columns"":[""Philippines"",""Bangladesh""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",58
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",59
"{""columns"":[""goout"",""Walc""],""methods"":[""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",60
"{""columns"":[""Total eMedia Circulation"",""New Cardholders""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",61
"{""columns"":[""Death Age :  1-5""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",62
"{""columns"":[""YELLOW_FINGERS"",""CHEST PAIN""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",63
"{""columns"":[""Pakistan"",""Bangladesh""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",64
"{""columns"":[""Terrorist attacks""],""methods"":[""Median""]}",65
"{""columns"":[""Death Age : 21-50 ""],""methods"":[""Quartile"",""Mean"",""Median"",""Mode"",""Range"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",66
"{""columns"":[""kms_driven"",""max_power(bhp)""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",67
"{""columns"":[""Sp_Atk""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",68
"{""columns"":[""F2014""],""methods"":[""Range""]}",69
"{""columns"":[""reading score""],""methods"":[""Standard Deviation""]}",70
"{""columns"":[""Income"",""NumDealsPurchases""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Kolmogorov-Smirnov Test"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",71
"{""columns"":[""Age""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",72
"{""columns"":[""MntWines"",""Z_Revenue""],""methods"":[""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis"",""Distribution Compliance Test: Shapiro-Wilk Test of Normality"",""Distribution Compliance Test: Kolmogorov-Smirnov Test for Normality"",""Distribution Compliance Test: Anderson-Darling Test"",""Distribution Compliance Test: Lilliefors Test"",""Distribution Compliance Test: Kolmogorov-Smirnov Test""]}",73
"{""columns"":[""Myanmar"",""India"",""Year""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",74
"{""columns"":[""kms_driven""],""methods"":[""Standard Deviation""]}",75
"{""columns"":[""Attack method: Assassination"",""Attack method: Hijacking"",""Attack method: Facility/Infrastructure Attack""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",76
"{""columns"":[""Review #""],""methods"":[""Mean""]}",77
"{""columns"":[""Walc"",""G1""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",78
"{""columns"":[""FATIGUE "",""SWALLOWING DIFFICULTY"",""SMOKING"",""YELLOW_FINGERS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",79
"{""columns"":[""age"",""bmi""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",80
"{""columns"":[""AcceptedCmp2"",""Response""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",81
"{""columns"":[""CreditScore"",""EstimatedSalary""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",82
"{""columns"":[""Research Quality Score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",83
"{""columns"":[""Income"",""NumWebVisitsMonth""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",84
"{""columns"":[""Cholesterol""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",85
"{""columns"":[""hasGender"",""isLegendary""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",86
"{""columns"":[""COUGHING"",""SWALLOWING DIFFICULTY"",""WHEEZING""],""methods"":[""Mantel-Haenszel Test"",""Chi-square Independence Test"",""Fisher Exact Test""]}",87
"{""columns"":[""reason"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",88
"{""columns"":[""New Cardholders"",""# of Attendees at Children's and Teen Programming""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",89
"{""columns"":[""MntWines""],""methods"":[""Mean""]}",90
"{""columns"":[""sex"",""romantic""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",91
"{""columns"":[""Total Library Visitors"",""Total eMedia Circulation""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",92
"{""columns"":[""median_income"",""happyScore""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",93
"{""columns"":[""MntMeatProducts"",""MntSweetProducts""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",94
"{""columns"":[""MaxHR"",""Oldpeak""],""methods"":[""Kolmogorov-Smirnov Test""]}",95
"{""columns"":[""MntWines"",""MntFishProducts""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",96
"{""columns"":[""SquareFeet"",""Bathrooms""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",97
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",98
"{""columns"":[""Calories Burn"",""BMI""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",99
"{""columns"":[""GENDER""],""methods"":[""Descriptive Statistics: Mode""]}",100
"{""columns"":[""gpa""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",101
"{""columns"":[""Potential"",""Special""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",102
"{""columns"":[""Z_CostContact""],""methods"":[""Kurtosis""]}",103
"{""columns"":[""GRE Score""],""methods"":[""Skewness""]}",104
"{""columns"":[""NCP""],""methods"":[""Skewness"",""Kurtosis""]}",105
"{""columns"":[""Europe"",""Review""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",106
"{""columns"":[""studytime"",""health""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",107
"{""columns"":[""CAEC"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",108
"{""columns"":[""NumWebPurchases""],""methods"":[""Descriptive Statistics: Skewness"",""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Range"",""Descriptive Statistics: Kurtosis""]}",109
"{""columns"":[""F2019""],""methods"":[""Standard Deviation""]}",110
"{""columns"":[""Bangladesh""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",111
"{""columns"":[""New Cardholders"",""# of Attendees at Children's and Teen Programming""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",112
"{""columns"":[""NumCatalogPurchases""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",113
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",114
"{""columns"":[""Overall"",""Special""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",115
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",116
"{""columns"":[""AcceptedCmp2""],""methods"":[""Mode""]}",117
"{""columns"":[""MntFishProducts""],""methods"":[""Descriptive Statistics: Kurtosis""]}",118
"{""columns"":[""MntFishProducts"",""NumCatalogPurchases""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",119
"{""columns"":[""NObeyesdad"",""SCC""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",120
"{""columns"":[""reading score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",121
"{""columns"":[""Attack method: Assassination"",""Terrorist Death Type : Killed""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",122
"{""columns"":[""JUN""],""methods"":[""Standard Deviation""]}",123
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Skewness""]}",124
"{""columns"":[""Average Tree Price"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",125
"{""columns"":[""address"",""reason""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",126
"{""columns"":[""F2020""],""methods"":[""Skewness"",""Kurtosis""]}",127
"{""columns"":[""famrel""],""methods"":[""Skewness"",""Kurtosis""]}",128
"{""columns"":[""math score"",""reading score""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",129
"{""columns"":[""HP"",""Attack""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",130
"{""columns"":[""Pstatus"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",131
"{""columns"":[""avg_satisfaction"",""std_satisfaction""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",132
"{""columns"":[""Number of trees sold"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",133
"{""columns"":[""Catch_Rate""],""methods"":[""Quartile""]}",134
"{""columns"":[""Pakistan"",""Thailand"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",135
"{""columns"":[""Age"",""Overall""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",136
"{""columns"":[""Average Tree Price"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",137
"{""columns"":[""FastingBS"",""RestingECG""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",138
"{""columns"":[""HP"",""Sp_Def""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",139
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",140
"{""columns"":[""Review""],""methods"":[""Mean"",""Median"",""Standard Deviation"",""Quartile"",""Range"",""Skewness"",""Kurtosis""]}",141
"{""columns"":[""Income"",""Teenhome""],""methods"":[""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis"",""Distribution Compliance Test: Shapiro-Wilk Test of Normality"",""Distribution Compliance Test: Anderson-Darling Test"",""Distribution Compliance Test: Kolmogorov-Smirnov Test for Normality"",""Distribution Compliance Test: Lilliefors Test"",""Distribution Compliance Test: Kolmogorov-Smirnov Test""]}",142
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",143
"{""columns"":[""Philippines"",""India""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",144
"{""columns"":[""F2011""],""methods"":[""Quartile""]}",145
"{""columns"":[""FAF""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",146
"{""columns"":[""RestingBP""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",147
"{""columns"":[""SHORTNESS OF BREATH""],""methods"":[""Mode""]}",148
"{""columns"":[""Industry Score"",""Teaching Score""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",149
"{""columns"":[""Oldpeak"",""Cholesterol"",""MaxHR""],""methods"":[""Partial Correlation Coefficient""]}",150
"{""columns"":[""Speed"",""Height_m"",""Attack""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",151
"{""columns"":[""NumWebVisitsMonth"",""MntSweetProducts"",""MntMeatProducts""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",152
"{""columns"":[""Walc"",""absences""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient"",""Chi-square Independence Test"",""Fisher Exact Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",153
"{""columns"":[""Total"",""Weight_kg""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",154
"{""columns"":[""CH2O"",""Weight"",""FCVC""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",155
"{""columns"":[""ALLERGY "",""LUNG_CANCER"",""GENDER""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",156
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",157
"{""columns"":[""Year"",""Thailand""],""methods"":[""Skewness""]}",158
"{""columns"":[""Age"",""Weight""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",159
"{""columns"":[""Indonesia"",""China"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",160
"{""columns"":[""Income"",""NumStorePurchases""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",161
