extracted_answer,serial_number
"{
  ""columns"": [""studytime"", ""health"", ""age""],
  ""methods"": [""Partial Correlation Coefficient""]
}",31
"{
  ""columns"": [""TV Ad Budget ($)"", ""Sales ($)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",32
"{
  ""columns"": [""NumWebPurchases"", ""MntMeatProducts"", ""MntSweetProducts""],
  ""methods"": [""Partial Correlation Coefficient""]
}",33
"{
  ""columns"": [""Dream Weight"", ""Heart Rate""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",34
"{
  ""columns"": [""Pakistan"", ""Brazil""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",35
"{
  ""columns"": [""FastingBS"", ""ChestPainType""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Contingency Table Test""]
}",36
"{
  ""columns"": [""Nigeria"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",37
"{
  ""columns"": [""Age"", ""Overall""],
  ""methods"": [""Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",38
"{
  ""columns"": [""PEER_PRESSURE"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",39
"{
  ""columns"": [""Medu"", ""freetime""],
  ""methods"": [""Chi-square Independence Test""]
}",40
"{
  ""columns"": [""Attack method: Unarmed Assault"", ""Attack method: Armed Assault""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",41
"{
  ""columns"": [""MntGoldProds""],
  ""methods"": [""Standard Deviation""]
}",42
"{
  ""columns"": [""Sp_Atk"", ""Pr_Male"", ""Attack""],
  ""methods"": [""Partial Correlation Coefficient""]
}",43
"{
  ""columns"": [""reason"", ""activities""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",44
"{
  ""columns"": [""CH2O""],
  ""methods"": [""Quartile""]
}",45
"{
  ""columns"": [""ChestPainType"", ""HeartDisease""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",46
"{
  ""columns"": [""# of Homeless Individuals Served at The Source""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",47
"{
  ""columns"": [""MntGoldProds""],
  ""methods"": [""Standard Deviation""]
}",48
"{
  ""columns"": [""schoolsup"", ""school"", ""internet""],
  ""methods"": [""Chi-square Independence Test""]
}",49
"{
  ""columns"": [""Value"", ""Release Clause""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",50
"{
  ""columns"": [""Philippines"", ""Vietnam""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",51
"{
  ""columns"": [""Defense"", ""Speed""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",52
"{""columns"": [""std_satisfaction"", ""median_income""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",53
"{
  ""columns"": [""Height_m"", ""Weight_kg""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",54
"{
  ""columns"": [""HP"", ""Sp_Atk""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",55
"{
  ""columns"": [""Kidhome"", ""NumCatalogPurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",56
"{
  ""columns"": [""PEER_PRESSURE"", ""SHORTNESS OF BREATH"", ""YELLOW_FINGERS""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",57
"{
  ""columns"": [""Philippines"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",58
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",59
"{
  ""columns"": [""goout"", ""Walc""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",60
"{
  ""columns"": [""Total eMedia Circulation"", ""New Cardholders""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",61
"{
  ""columns"": [""Death Age :  1-5""],
  ""methods"": [""Mean"", ""Median"", ""Mode""]
}",62
"{
  ""columns"": [""YELLOW_FINGERS"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",63
"{
  ""columns"": [""Pakistan"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",64
"{
  ""columns"": [""Terrorist attacks""],
  ""methods"": [""Median""]
}",65
"{
  ""columns"": [""Death Age : 21-50""],
  ""methods"": [""Quartile"", ""Range"", ""Mean"", ""Median"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",66
"{""columns"": [""kms_driven"", ""max_power(bhp)""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",67
"{
  ""columns"": [""Sp_Atk""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",68
"{
  ""columns"": [""F2014""],
  ""methods"": [""Range""]
}",69
"{
  ""columns"": [""reading score""],
  ""methods"": [""Standard Deviation""]
}",70
"{
  ""columns"": [""Income"", ""NumDealsPurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",71
"{
  ""columns"": [""Age""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",72
"{
  ""columns"": [""MntWines"", ""Z_Revenue""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",73
"{
  ""columns"": [""Myanmar"", ""India""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",74
"{
  ""columns"": [""kms_driven""],
  ""methods"": [""Standard Deviation""]
}",75
"{
  ""columns"": [""Attack method: Assassination"", ""Attack method: Hijacking"", ""Attack method: Facility/Infrastructure Attack""],
  ""methods"": [""Partial Correlation Coefficient""]
}",76
"{
  ""columns"": [""Review #""],
  ""methods"": [""Mean""]
}",77
"{
  ""columns"": [""Walc"", ""G1""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",78
"{
  ""columns"": [""FATIGUE "", ""SWALLOWING DIFFICULTY"", ""SMOKING"", ""YELLOW_FINGERS""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",79
"{
  ""columns"": [""age"", ""bmi""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test"", ""Mood Variance Test""]
}",80
"{""columns"": [""AcceptedCmp2"", ""Response""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",81
"{
  ""columns"": [""CreditScore"", ""EstimatedSalary""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",82
"{
  ""columns"": [""Research Quality Score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",83
"{
  ""columns"": [""Income"", ""NumWebVisitsMonth""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",84
"{
  ""columns"": [""Cholesterol""],
  ""methods"": [
    ""Shapiro-Wilk Test of Normality"",
    ""Kolmogorov-Smirnov Test for Normality"",
    ""Lilliefors Test"",
    ""Anderson-Darling Test"",
    ""Skewness"",
    ""Kurtosis""
  ]
}",85
"{""columns"": [""isLegendary"", ""hasGender""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",86
"{
  ""columns"": [""COUGHING"", ""SWALLOWING DIFFICULTY"", ""WHEEZING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",87
"{
  ""columns"": [""reason"", ""activities""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",88
"{""columns"": [""New Cardholders"", ""# of Attendees at Children's and Teen Programming""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",89
"{
  ""columns"": [""MntWines""],
  ""methods"": [""Mean"", ""Standard Deviation"", ""Range"", ""Quartile"", ""Shapiro-Wilk Test of Normality""]
}",90
"{
  ""columns"": [""sex"", ""romantic""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",91
"{""columns"": [""Total Library Visitors"", ""Total eMedia Circulation""], ""methods"": [""Levene Test"", ""F-Test for Variance"", ""Bartlett Test""]}",92
"{
  ""columns"": [""median_income"", ""happyScore""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",93
"{
  ""columns"": [""MntMeatProducts"", ""MntSweetProducts""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",94
"{
  ""columns"": [""MaxHR"", ""Oldpeak""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",95
"{
  ""columns"": [""MntWines"", ""MntFishProducts""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",96
"{""columns"": [""SquareFeet"", ""Bathrooms""], ""methods"": [""Levene Test"", ""Mood Variance Test"", ""Bartlett Test"", ""F-Test for Variance""]}",97
"{
  ""columns"": [""# of Homeless Individuals Served at The Source""],
  ""methods"": [
    ""Anderson-Darling Test"",
    ""Shapiro-Wilk Test of Normality"",
    ""Kolmogorov-Smirnov Test for Normality"",
    ""Lilliefors Test"",
    ""Skewness"",
    ""Kurtosis""
  ]
}",98
"{
  ""columns"": [""Calories Burn"", ""BMI""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",99
"{
  ""columns"": [""GENDER""],
  ""methods"": [""Mode""]
}",100
"{""columns"": [""gpa""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",101
"{
  ""columns"": [""Potential"", ""Special""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",102
"{
  ""columns"": [""Z_CostContact""],
  ""methods"": [""Kurtosis""]
}",103
"{""columns"": [""GRE Score""], ""methods"": [""Skewness""]}",104
"{
  ""columns"": [""NCP""],
  ""methods"": [""Mean"", ""Median"", ""Mode"", ""Skewness"", ""Kurtosis""]
}",105
"{
  ""columns"": [""Europe"", ""Review""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",106
"{
  ""columns"": [""studytime"", ""health""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",107
"{
  ""columns"": [""NCP"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",108
"{
  ""columns"": [""NumWebPurchases""],
  ""methods"": [""Skewness""]
}",109
"{
  ""columns"": [""F2019""],
  ""methods"": [""Standard Deviation""]
}",110
"{
  ""columns"": [""Bangladesh""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",111
"{""columns"": [""New Cardholders"", ""# of Attendees at Children's and Teen Programming""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",112
"{
  ""columns"": [""NumCatalogPurchases""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",113
"{
  ""columns"": [""Total"", ""Weight_kg""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",114
"{
  ""columns"": [""Overall"", ""Special""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",115
"{
  ""columns"": [""Total"", ""Weight_kg""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",116
"{
  ""columns"": [""AcceptedCmp2""],
  ""methods"": [""Mode""]
}",117
"{
  ""columns"": [""MntFishProducts""],
  ""methods"": [""Kurtosis""]
}",118
"{
  ""columns"": [""MntFishProducts"", ""NumCatalogPurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",119
"{
  ""columns"": [""NObeyesdad"", ""SCC""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",120
"{
  ""columns"": [""reading score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",121
"{
  ""columns"": [""Attack method: Assassination"", ""Terrorist Death Type : Killed""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",122
"{
  ""columns"": [""JUN""],
  ""methods"": [""Standard Deviation""]
}",123
"{
  ""columns"": [""# of Homeless Individuals Served at The Source""],
  ""methods"": [""Skewness""]
}",124
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",125
"{
  ""columns"": [""address"", ""reason""],
  ""methods"": [""Chi-square Independence Test""]
}",126
"{
  ""columns"": [""F2020""],
  ""methods"": [""Skewness""]
}",127
"{
  ""columns"": [""famrel""],
  ""methods"": [""Skewness"", ""Kurtosis"", ""Shapiro-Wilk Test of Normality""]
}",128
"{
  ""columns"": [""math score"", ""reading score""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",129
"{
  ""columns"": [""HP"", ""Attack""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",130
"{
  ""columns"": [""Pstatus"", ""activities""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",131
"{""columns"": [""avg_satisfaction"", ""std_satisfaction""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",132
"{
  ""columns"": [""Number of trees sold"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",133
"{
  ""columns"": [""Catch_Rate""],
  ""methods"": [""Quartile""]
}",134
"{
  ""columns"": [""Year"", ""Pakistan"", ""Thailand""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",135
"{
  ""columns"": [""Age"", ""Overall""],
  ""methods"": [""Standard Deviation"", ""Range"", ""Variance Test""]
}",136
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",137
"{
  ""columns"": [""FastingBS"", ""RestingECG""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",138
"{
  ""columns"": [""HP"", ""Sp_Def""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",139
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",140
"{
  ""columns"": [""Review""],
  ""methods"": [""Mean"", ""Standard Deviation"", ""Range"", ""Quartile"", ""Skewness"", ""Kurtosis""]
}",141
"{
  ""columns"": [""Income"", ""Teenhome""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",142
"{
  ""columns"": [""Height_m"", ""Weight_kg""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",143
"{
  ""columns"": [""Philippines"", ""India""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",144
"{
  ""columns"": [""F2011""],
  ""methods"": [""Quartile""]
}",145
"{
  ""columns"": [""FAF""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",146
"{
  ""columns"": [""RestingBP""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Mean"", ""Median"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",147
"{
  ""columns"": [""SHORTNESS OF BREATH""],
  ""methods"": [""Mode""]
}",148
"{
  ""columns"": [""Industry Score"", ""Teaching Score""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",149
"{""columns"": [""Oldpeak"", ""Cholesterol"", ""MaxHR""], ""methods"": [""Partial Correlation Coefficient""]}",150
"{
  ""columns"": [""Speed"", ""Height_m"", ""Attack""],
  ""methods"": [""Partial Correlation Coefficient""]
}",151
"{
  ""columns"": [""NumWebVisitsMonth"", ""MntSweetProducts"", ""MntMeatProducts""],
  ""methods"": [""Partial Correlation Coefficient""]
}",152
"{
  ""columns"": [""Walc"", ""absences""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",153
"{
  ""columns"": [""Total"", ""Weight_kg""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",154
"{
  ""columns"": [""CH2O"", ""Weight"", ""FCVC""],
  ""methods"": [""Partial Correlation Coefficient""]
}",155
"{
  ""columns"": [""ALLERGY"", ""LUNG_CANCER"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",156
"{""columns"": [""Number of trees sold"", ""Average Tree Price""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",157
"{
  ""columns"": [""Thailand""],
  ""methods"": [""Skewness""]
}",158
"{
  ""columns"": [""Age"", ""Weight""],
  ""methods"": [
    ""Anderson-Darling Test"",
    ""Shapiro-Wilk Test of Normality"",
    ""Kolmogorov-Smirnov Test for Normality"",
    ""Lilliefors Test"",
    ""Kolmogorov-Smirnov Test""
  ]
}",159
"{""columns"": [""Indonesia"", ""China""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",160
"{
  ""columns"": [""Income"", ""NumStorePurchases""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",161
"{
  ""columns"": [""ALLERGY"", ""ALCOHOL CONSUMING"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",162
"{
  ""columns"": [""Brazil""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",163
"{
  ""columns"": [""Kit Number""],
  ""methods"": [""Mode""]
}",164
"{
  ""columns"": [""TV Ad Budget ($)"", ""Sales ($)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",165
"{
  ""columns"": [""Pstatus"", ""guardian""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",166
"{
  ""columns"": [""Myanmar""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",167
"{
  ""columns"": [""Price""],
  ""methods"": [""Range""]
}",168
"{
  ""columns"": [""Philippines"", ""China""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",169
"{
  ""columns"": [""Medu""],
  ""methods"": [""Mean""]
}",170
"{
  ""columns"": [""sex"", ""famsup"", ""school""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",171
"{
  ""columns"": [""HS-101""],
  ""methods"": [""Mode""]
}",172
"{
  ""columns"": [""Gender"", ""IsActiveMember""],
  ""methods"": [""Chi-square Independence Test""]
}",173
"{
  ""columns"": [""SHORTNESS OF BREATH"", ""LUNG_CANCER"", ""YELLOW_FINGERS""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",174
"{
  ""columns"": [""F2020""],
  ""methods"": [""Skewness""]
}",175
"{
  ""columns"": [""writing score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",176
"{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",177
"{
  ""columns"": [""imdb_score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",178
"{
  ""columns"": [""Total Library Visitors"", ""Total Computer Usage (Wireless + PC Sessions)""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",179
"{
  ""columns"": [""Total Library Visitors""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",180
"{
  ""columns"": [""New Cardholders""],
  ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]
}",181
"{
  ""columns"": [""Heart Rate""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",182
"{
  ""columns"": [""GDP""],
  ""methods"": [""Range""]
}",183
"{
  ""columns"": [""mileage(kmpl)""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",184
"{
  ""columns"": [""Total"", ""Height_m""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",185
"{
  ""columns"": [""Japan"", ""China""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",186
"{""columns"": [""Review #""], ""methods"": [""Kurtosis""]}",187
"{
  ""columns"": [""adjusted_satisfaction"", ""std_satisfaction""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",188
"{
  ""columns"": [""MAR""],
  ""methods"": [""Median""]
}",189
"{
  ""columns"": [""higher"", ""internet""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",190
"{
  ""columns"": [""Pakistan"", ""China""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",191
"{
  ""columns"": [""paid"", ""nursery"", ""sex""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",192
"{
  ""columns"": [""experience_level"", ""company_size""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",193
"{
  ""columns"": [""Sex"", ""Transportation""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",194
